Code,Name,Parent Category Code,Image name
S-SAFE8,Cash Box (ប្រអប់ដាក់លុយ),SAFE-01,c1.png
S-SAFE9,Color Box,SAFE-01,c1.png
S-SAFE7,Key Box (ប្រអប់សោ),SAFE-01,c1.png
S-SAFE10,Partitions រនាំង,SAFE-01,c1.png
S-CB11,គ្រែ,CBO-01,c1.png
S-CB12,ឆ័ត្រ,CBO-01,c1.png
S-TV13,តុ ,TV-01,c1.png
S-TV7,តុ AA 30604 0.9m,TV-01,c1.png
S-TV6,តុ AA 40604 1.2m,TV-01,c1.png
S-TV5,តុ KN-CO33 1.2m,TV-01,c1.png
S-TV3,តុ TV STD 120,TV-01,c1.png
S-TV2,តុ TV STD 151,TV-01,c1.png
S-TV1,តុ TV STD 188,TV-01,c1.png
S-TV4,តុ TV STD 90,TV-01,c1.png
S-TV9,តុ​ JY,TV-01,c1.png
S-TV10,តុ​ ប្រជុំ,TV-01,c1.png
S-TV11,តុ​ប្រធាន,TV-01,c1.png
S-TV15,តុកែង,TV-01,c1.png
S-TV8,តុបត់ ,TV-01,c1.png
S-TV12,តុសរសេរ Begin 1m,TV-01,c1.png
S-TV16,តុសួន,TV-01,c1.png
S-TV14,ថតតុ,TV-01,c1.png
S-SAFE2,ទូដែក Bool Safe,SAFE-01,c1.png
S-SAFE6,ទូដែក Diplomat ,SAFE-01,c1.png
S-SAFE1,ទូដែក Leeco Safe,SAFE-01,c1.png
S-SAFE3,ទូដែក Orion ,SAFE-01,c1.png
S-SAFE4,ទូដែក TaiYo,SAFE-01,c1.png
S-SAFE5,ទូដែក UchiDa,SAFE-01,c1.png
S-SAFE7,ទូដែក Yale,SAFE-01,c1.png
S-CBO6,ទូសៀវភៅ STD 902,CBO-01,c1.png
S-CB10,ទូស្បែកជើង,CBO-01,c1.png
S-SCB2,ទូឯកសារ (ឈើ),SCB-01,c1.png
S-SCB1,ទូឯកសារ (ដែក),SCB-01,c1.png
S-CBO3,ទូឯកសារ 10ថត ,CBO-01,c1.png
